Sleutel;Datum Verzoek Inschr;Ingangsdatum;Collegejaar;Datum intrekking vooraanmelding;Inschrijfstatus;Faculteit;Examentype;Croho;Croho groepeernaam;Opleiding;Hoofdopleiding;Eerstejaars croho jaar;Is eerstejaars croho opleiding;Is hogerejaars;BBC ontvangen;Type vooropleiding;Nationaliteit;EER;Geslacht;Geverifieerd adres postcode;Geverifieerd adres plaats;Geverifieerd adres land;Studieadres postcode;Studieadres land;School code eerste vooropleiding;School eerste vooropleiding;Plaats code eerste vooropleiding;Land code eerste vooropleiding;Aantal studenten
STU01996;25-10-2024;01-09-2024;2024;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2024;1;0;0;VWO;Nederlandse;J;V;6531EF;Arnhem;NL;6501AB;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU01478;20-02-2023;01-09-2022;2022;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2022;1;0;0;VWO;Nederlandse;J;V;6541GH;Eindhoven;NL;6511AB;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU02033;23-01-2025;01-09-2024;2024;;Uitgeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2024;1;0;0;VWO;Nederlandse;J;V;6534ST;Nijmegen;NL;6551IJ;NL;00BJ;Kandinsky College;0268;NL;1
STU00703;02-02-2021;01-09-2020;2020;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2020;1;0;0;HBO;Belgische;J;M;6504GH;Nijmegen;NL;6503EF;NL;00DK;Montessori College;0268;NL;1
STU01043;05-10-2021;01-10-2021;2021;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2021;1;0;0;HAVO;Nederlandse;J;M;6511AB;Arnhem;NL;6500AA;NL;00GQ;Dominicus College;0268;NL;1
STU01807;11-04-2024;01-09-2023;2023;09-05-2024;Geannuleerd;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2023;1;0;0;VWO;Nederlandse;J;M;6541GH;Eindhoven;NL;6500AA;NL;00DK;Montessori College;0268;NL;1
STU00250;21-02-2019;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2018;1;0;0;VWO;Nederlandse;J;M;6531EF;Nijmegen;NL;6521CD;NL;00BJ;Kandinsky College;0268;NL;1
STU00731;12-11-2020;01-09-2020;2020;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2020;1;0;0;VWO;Nederlandse;J;M;6504GH;Arnhem;NL;6512BH;NL;00BJ;Kandinsky College;0268;NL;1
STU00689;06-07-2021;01-09-2020;2020;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2020;1;0;0;WO;Chinese;N;V;6521CD;Nijmegen;NL;6512BH;NL;00DK;Montessori College;0268;NL;1
STU01083;27-06-2022;01-09-2021;2021;;Geannuleerd;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2021;1;0;0;VWO;Nederlandse;J;M;6511AB;Arnhem;NL;6534ST;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU00148;05-03-2019;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2018;1;0;0;VWO;Nederlandse;J;M;6511AB;Nijmegen;NL;6512BH;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU01332;13-09-2023;01-10-2022;2022;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2022;1;0;0;HBO;Nederlandse;J;V;6534ST;Eindhoven;NL;6521CD;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU01585;17-07-2023;01-09-2022;2022;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2022;1;0;0;VWO;Nederlandse;J;V;6501AB;Nijmegen;NL;6525HP;NL;00DK;Montessori College;0268;NL;1
STU00110;10-06-2019;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2018;1;0;0;VWO;Nederlandse;J;V;6525ED;Eindhoven;NL;6503EF;NL;00DK;Montessori College;0268;NL;1
STU00051;11-09-2019;01-09-2018;2018;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2018;1;0;0;VWO;Nederlandse;J;M;6531EF;Nijmegen;NL;6504GH;NL;00BJ;Kandinsky College;0268;NL;1
STU01891;29-04-2024;01-10-2023;2023;28-05-2024;Geannuleerd;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2023;1;0;0;VWO;Nederlandse;J;V;6525HP;Nijmegen;NL;6521CD;NL;00DK;Montessori College;0268;NL;1
STU00294;10-01-2019;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2018;1;0;0;WO;Nederlandse;J;M;6525HP;Arnhem;NL;6525ED;NL;00GQ;Dominicus College;0268;NL;1
STU00699;17-09-2021;01-09-2020;2020;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2020;1;0;0;WO;Nederlandse;J;M;6534ST;Nijmegen;NL;6531EF;NL;00GQ;Dominicus College;0268;NL;1
STU01992;13-12-2024;01-10-2024;2024;;Geannuleerd;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2024;1;0;0;VWO;Duitse;J;V;6525HR;Eindhoven;DE;6534ST;NL;DE01;Gymnasium Kleve;KLEV;DE;1
STU00512;30-06-2020;01-09-2019;2019;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2019;1;0;0;VWO;Nederlandse;J;M;6521CD;Nijmegen;NL;6551IJ;NL;00GQ;Dominicus College;0268;NL;1
STU00778;24-06-2021;01-09-2020;2020;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2020;1;0;0;HAVO;Chinese;N;V;6541GH;Wageningen;NL;6525HP;NL;00BJ;Kandinsky College;0268;NL;1
STU01425;22-05-2023;01-09-2022;2022;01-08-2023;Geannuleerd;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2022;1;0;0;HAVO;Belgische;J;V;6531EF;Nijmegen;NL;6511AB;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU00738;05-01-2021;01-09-2020;2020;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2020;1;0;0;HBO;Nederlandse;J;V;6504GH;Nijmegen;NL;6503EF;NL;00DK;Montessori College;0268;NL;1
STU00496;10-03-2020;01-09-2019;2019;;Geannuleerd;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2019;1;0;0;VWO;Nederlandse;J;V;6500AA;Wageningen;NL;6525ED;NL;00DK;Montessori College;0268;NL;1
STU01257;23-09-2022;01-10-2021;2021;19-10-2021;Geannuleerd;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2021;1;0;0;VWO;Nederlandse;J;M;6500AA;Arnhem;NL;6551IJ;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU01069;24-03-2022;01-10-2021;2021;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2021;1;0;0;VWO;Nederlandse;J;M;6525ED;Eindhoven;NL;6534ST;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU01186;22-07-2022;01-09-2021;2021;24-08-2022;Geannuleerd;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2021;1;0;0;VWO;Nederlandse;J;M;6551IJ;Arnhem;NL;6525ED;NL;00BJ;Kandinsky College;0268;NL;1
STU01442;21-11-2022;01-09-2022;2022;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2022;1;0;0;VWO;Chinese;N;M;6531EF;Wageningen;NL;6541GH;NL;00AH;Canisius College;0268;NL;1
STU01482;21-03-2023;01-09-2022;2022;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2022;1;0;0;VWO;Nederlandse;J;V;6525HR;Eindhoven;NL;6521CD;NL;00DK;Montessori College;0268;NL;1
STU01176;18-03-2022;01-10-2021;2021;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2021;1;0;0;HAVO;Nederlandse;J;V;6512BH;Nijmegen;NL;6502CD;NL;00BJ;Kandinsky College;0268;NL;1
STU01851;21-03-2024;01-09-2023;2023;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2023;1;0;0;HAVO;Nederlandse;J;M;6504GH;Wageningen;NL;6511AB;NL;00BJ;Kandinsky College;0268;NL;1
STU01945;03-03-2025;01-10-2024;2024;;Verzoek tot inschrijving;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2024;1;0;0;HBO;Nederlandse;J;M;6512BH;Arnhem;NL;6502CD;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU01238;12-05-2022;01-09-2021;2021;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2021;1;0;0;WO;Nederlandse;J;V;6511AB;Wageningen;NL;6525HR;NL;00DK;Montessori College;0268;NL;1
STU01288;07-11-2022;01-09-2022;2022;02-12-2022;Geannuleerd;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2022;1;0;0;VWO;Nederlandse;J;V;6504GH;Eindhoven;NL;6501AB;NL;00DK;Montessori College;0268;NL;1
STU00804;20-10-2020;01-09-2020;2020;23-11-2020;Geannuleerd;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2020;1;0;0;VWO;Nederlandse;J;V;6534ST;Nijmegen;NL;6500AA;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU00851;21-09-2021;01-09-2020;2020;30-10-2020;Geannuleerd;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2020;1;0;0;VWO;Nederlandse;J;M;6504GH;Eindhoven;NL;6525ED;NL;00BJ;Kandinsky College;0268;NL;1
STU00058;14-03-2019;01-10-2018;2018;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2018;1;0;0;VWO;Nederlandse;J;M;6501AB;Wageningen;NL;6525ED;NL;00AH;Canisius College;0268;NL;1
STU01413;16-08-2023;01-09-2022;2022;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2022;1;0;0;HAVO;Nederlandse;J;V;6525ED;Nijmegen;NL;6534ST;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU01268;23-03-2022;01-10-2021;2021;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2021;1;0;0;HAVO;Nederlandse;J;M;6525ED;Nijmegen;NL;6511AB;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU01607;19-05-2023;01-09-2022;2022;22-06-2023;Geannuleerd;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2022;1;0;0;VWO;Duitse;J;V;6512BH;Nijmegen;DE;6551IJ;NL;DE01;Gymnasium Kleve;KLEV;DE;1
STU00499;03-04-2020;01-09-2019;2019;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2019;1;0;0;VWO;Belgische;J;V;6525ED;Arnhem;NL;6502CD;NL;00GQ;Dominicus College;0268;NL;1
STU00816;18-01-2021;01-09-2020;2020;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2020;1;0;0;HBO;Nederlandse;J;V;6521CD;Eindhoven;NL;6551IJ;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU00109;04-06-2019;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2018;1;0;0;HBO;Nederlandse;J;M;6504GH;Eindhoven;NL;6502CD;NL;00GQ;Dominicus College;0268;NL;1
STU00060;28-03-2019;01-09-2018;2018;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2018;1;0;0;HAVO;Nederlandse;J;V;6525HP;Nijmegen;NL;6521CD;NL;00GQ;Dominicus College;0268;NL;1
STU00835;04-06-2021;01-09-2020;2020;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2020;1;0;0;VWO;Nederlandse;J;M;6525HR;Nijmegen;NL;6502CD;NL;00BJ;Kandinsky College;0268;NL;1
STU01596;12-05-2023;01-10-2022;2022;23-05-2023;Geannuleerd;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2022;1;0;0;HAVO;Duitse;J;V;6503EF;Arnhem;DE;6525HP;NL;DE01;Gymnasium Kleve;KLEV;DE;1
STU01737;21-06-2024;01-09-2023;2023;;Geannuleerd;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2023;1;0;0;VWO;Nederlandse;J;V;6500AA;Eindhoven;NL;6502CD;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU01131;19-11-2021;01-09-2021;2021;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2021;1;0;0;VWO;Nederlandse;J;V;6504GH;Wageningen;NL;6511AB;NL;00BJ;Kandinsky College;0268;NL;1
STU00636;07-07-2020;01-09-2019;2019;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2019;1;0;0;HBO;Nederlandse;J;V;6503EF;Nijmegen;NL;6501AB;NL;00DK;Montessori College;0268;NL;1
STU00510;18-06-2020;01-09-2019;2019;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2019;1;0;0;VWO;Nederlandse;J;V;6511AB;Wageningen;NL;6504GH;NL;00GQ;Dominicus College;0268;NL;1
STU00411;04-03-2020;01-09-2019;2019;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2019;1;0;0;HAVO;Nederlandse;J;V;6534ST;Arnhem;NL;6531EF;NL;00BJ;Kandinsky College;0268;NL;1
STU01940;03-09-2024;01-09-2023;2023;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2023;1;0;0;VWO;Nederlandse;J;V;6551IJ;Arnhem;NL;6512BH;NL;00AH;Canisius College;0268;NL;1
STU00739;13-01-2021;01-10-2020;2020;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2020;1;0;0;HAVO;Nederlandse;J;M;6512BH;Eindhoven;NL;6534ST;NL;00DK;Montessori College;0268;NL;1
STU00458;30-01-2020;01-09-2019;2019;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2019;1;0;0;HBO;Nederlandse;J;V;6521CD;Wageningen;NL;6551IJ;NL;00DK;Montessori College;0268;NL;1
STU00198;03-09-2019;01-09-2018;2018;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2018;1;0;0;HBO;Nederlandse;J;M;6502CD;Arnhem;NL;6512BH;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU00388;27-09-2019;01-09-2019;2019;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2019;1;0;0;HBO;Nederlandse;J;M;6500AA;Arnhem;NL;6502CD;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU00351;27-05-2020;01-09-2019;2019;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2019;1;0;0;VWO;Nederlandse;J;V;6531EF;Eindhoven;NL;6501AB;NL;00BJ;Kandinsky College;0268;NL;1
STU00128;31-07-2019;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2018;1;0;0;VWO;Nederlandse;J;V;6541GH;Nijmegen;NL;6521CD;NL;00AH;Canisius College;0268;NL;1
STU00914;09-07-2021;01-09-2020;2020;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2020;1;0;0;WO;Nederlandse;J;M;6534ST;Arnhem;NL;6534ST;NL;00DK;Montessori College;0268;NL;1
STU01091;25-08-2022;01-09-2021;2021;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2021;1;0;0;VWO;Nederlandse;J;M;6503EF;Nijmegen;NL;6521CD;NL;00GQ;Dominicus College;0268;NL;1
STU00405;22-01-2020;01-09-2019;2019;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2019;1;0;0;WO;Nederlandse;J;M;6541GH;Eindhoven;NL;6541GH;NL;00GQ;Dominicus College;0268;NL;1
STU00227;27-09-2018;01-09-2018;2018;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2018;1;0;0;VWO;Nederlandse;J;M;6500AA;Nijmegen;NL;6541GH;NL;00BJ;Kandinsky College;0268;NL;1
STU01840;28-12-2023;01-09-2023;2023;;Geannuleerd;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2023;1;0;0;HBO;Chinese;N;M;6501AB;Arnhem;NL;6504GH;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU00320;23-10-2019;01-09-2019;2019;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2019;1;0;0;VWO;Nederlandse;J;M;6511AB;Nijmegen;NL;6525ED;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU01409;18-07-2023;01-09-2022;2022;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2022;1;0;0;VWO;Nederlandse;J;M;6504GH;Nijmegen;NL;6503EF;NL;00GQ;Dominicus College;0268;NL;1
STU01324;18-07-2023;01-09-2022;2022;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2022;1;0;0;WO;Nederlandse;J;V;6503EF;Eindhoven;NL;6521CD;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU00074;03-10-2018;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2018;1;0;0;VWO;Nederlandse;J;M;6534ST;Nijmegen;NL;6525ED;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU00605;18-08-2020;01-09-2019;2019;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2019;1;0;0;VWO;Nederlandse;J;M;6525HR;Eindhoven;NL;6534ST;NL;00BJ;Kandinsky College;0268;NL;1
STU00420;06-05-2020;01-09-2019;2019;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2019;1;0;0;HBO;Nederlandse;J;M;6541GH;Nijmegen;NL;6531EF;NL;00GQ;Dominicus College;0268;NL;1
STU01614;04-05-2023;01-09-2022;2022;;Geannuleerd;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2022;1;0;0;VWO;Nederlandse;J;M;6541GH;Eindhoven;NL;6504GH;NL;00AH;Canisius College;0268;NL;1
STU00883;24-11-2020;01-09-2020;2020;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2020;1;0;0;VWO;Belgische;J;V;6502CD;Eindhoven;NL;6525HP;NL;00GQ;Dominicus College;0268;NL;1
STU01964;24-10-2024;01-10-2024;2024;;Uitgeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2024;1;0;0;VWO;Nederlandse;J;M;6525ED;Wageningen;NL;6534ST;NL;00GQ;Dominicus College;0268;NL;1
STU00300;06-11-2018;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2018;1;0;0;VWO;Nederlandse;J;V;6525ED;Nijmegen;NL;6531EF;NL;00AH;Canisius College;0268;NL;1
STU01881;21-02-2024;01-09-2023;2023;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2023;1;0;0;HBO;Nederlandse;J;V;6534ST;Wageningen;NL;6551IJ;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU01858;18-04-2024;01-09-2023;2023;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2023;1;0;0;VWO;Nederlandse;J;M;6525HP;Nijmegen;NL;6525ED;NL;00AH;Canisius College;0268;NL;1
STU01902;15-07-2024;01-09-2023;2023;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2023;1;0;0;WO;Nederlandse;J;V;6500AA;Arnhem;NL;6502CD;NL;00BJ;Kandinsky College;0268;NL;1
STU01274;22-04-2022;01-09-2021;2021;;Geannuleerd;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2021;1;0;0;VWO;Nederlandse;J;M;6511AB;Arnhem;NL;6511AB;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU00008;13-11-2018;01-09-2018;2018;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2018;1;0;0;HBO;Nederlandse;J;V;6502CD;Nijmegen;NL;6502CD;NL;00GQ;Dominicus College;0268;NL;1
STU00716;19-02-2021;01-09-2020;2020;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2020;1;0;0;HBO;Belgische;J;V;6511AB;Eindhoven;NL;6500AA;NL;09AA;Gymnasium Arnhem;0202;NL;1
STU00308;12-03-2019;01-09-2018;2018;20-05-2019;Geannuleerd;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2018;1;0;0;WO;Nederlandse;J;V;6531EF;Arnhem;NL;6525ED;NL;00BJ;Kandinsky College;0268;NL;1
STU01259;29-12-2021;01-09-2021;2021;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2021;1;0;0;VWO;Nederlandse;J;V;6500AA;Arnhem;NL;6512BH;NL;09AA;Gymnasium Arnhem;0202;NL;1
