Sleutel;Datum Verzoek Inschr;Ingangsdatum;Collegejaar;Datum intrekking vooraanmelding;Inschrijfstatus;Faculteit;Examentype;Croho;Croho groepeernaam;Opleiding;Hoofdopleiding;Eerstejaars croho jaar;Is eerstejaars croho opleiding;Is hogerejaars;BBC ontvangen;Type vooropleiding;Nationaliteit;EER;Geslacht;Geverifieerd adres postcode;Geverifieerd adres plaats;Geverifieerd adres land;Studieadres postcode;Studieadres land;School code eerste vooropleiding;School eerste vooropleiding;Plaats code eerste vooropleiding;Land code eerste vooropleiding;Aantal studenten
1010;03-11-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;6310AA;Nijmegen;NL;9005BB;NL;12552;Demo School;0268;6030;1
1011;03-11-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;1949AA;Nijmegen;NL;4946BB;NL;84364;Demo School;0268;6030;1
1012;08-02-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;9727AA;Nijmegen;NL;3060BB;NL;26828;Demo School;0268;6030;1
1013;01-09-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;4470AA;Nijmegen;NL;9835BB;NL;36365;Demo School;0268;6030;1
1014;27-06-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;9479AA;Nijmegen;NL;8397BB;NL;25860;Demo School;0268;6030;1
1015;02-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;4608AA;Nijmegen;NL;1117BB;NL;19305;Demo School;0268;6030;1
1016;21-01-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;6413AA;Nijmegen;NL;2160BB;NL;77391;Demo School;0268;6030;1
1017;05-12-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;8744AA;Nijmegen;NL;4981BB;NL;71993;Demo School;0268;6030;1
1018;23-03-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;6804AA;Nijmegen;NL;7939BB;NL;63883;Demo School;0268;6030;1
1019;25-01-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;7596AA;Nijmegen;NL;6559BB;NL;24322;Demo School;0268;6030;1
1020;18-10-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;7912AA;Nijmegen;NL;4006BB;NL;46509;Demo School;0268;6030;1
1021;30-01-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;9856AA;Nijmegen;NL;1241BB;NL;22224;Demo School;0268;6030;1
1022;14-04-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;8886AA;Nijmegen;NL;4502BB;NL;62565;Demo School;0268;6030;1
1023;12-03-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;5345AA;Nijmegen;NL;8454BB;NL;47388;Demo School;0268;6030;1
1024;05-09-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;4111AA;Nijmegen;NL;5861BB;NL;38534;Demo School;0268;6030;1
1025;24-08-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;1821AA;Nijmegen;NL;8811BB;NL;75909;Demo School;0268;6030;1
1026;18-08-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;4044AA;Nijmegen;NL;2122BB;NL;87992;Demo School;0268;6030;1
1027;24-12-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5033AA;Nijmegen;NL;1651BB;NL;91183;Demo School;0268;6030;1
1028;06-12-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;4346AA;Nijmegen;NL;6147BB;NL;41285;Demo School;0268;6030;1
1029;12-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;6180AA;Nijmegen;NL;2188BB;NL;11220;Demo School;0268;6030;1
1030;07-09-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;9288AA;Nijmegen;NL;5345BB;NL;27361;Demo School;0268;6030;1
1031;28-01-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;3584AA;Nijmegen;NL;8179BB;NL;81200;Demo School;0268;6030;1
1032;17-08-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;3200AA;Nijmegen;NL;5333BB;NL;25129;Demo School;0268;6030;1
1033;01-09-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;4450AA;Nijmegen;NL;6617BB;NL;36685;Demo School;0268;6030;1
1034;24-04-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;1832AA;Nijmegen;NL;2512BB;NL;93136;Demo School;0268;6030;1
1035;27-04-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;3143AA;Nijmegen;NL;5291BB;NL;31178;Demo School;0268;6030;1
1036;05-09-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;2832AA;Nijmegen;NL;2232BB;NL;29536;Demo School;0268;6030;1
1037;12-06-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;3088AA;Nijmegen;NL;1685BB;NL;50404;Demo School;0268;6030;1
1038;15-01-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;2684AA;Nijmegen;NL;6794BB;NL;83385;Demo School;0268;6030;1
1039;03-07-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;3662AA;Nijmegen;NL;3900BB;NL;64040;Demo School;0268;6030;1
1040;11-12-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5371AA;Nijmegen;NL;3608BB;NL;24168;Demo School;0268;6030;1
1041;19-01-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;4269AA;Nijmegen;NL;8541BB;NL;55830;Demo School;0268;6030;1
1042;07-04-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;7528AA;Nijmegen;NL;6378BB;NL;46517;Demo School;0268;6030;1
1043;29-04-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;1452AA;Nijmegen;NL;2889BB;NL;44237;Demo School;0268;6030;1
1044;21-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;6663AA;Nijmegen;NL;6139BB;NL;67199;Demo School;0268;6030;1
1045;10-08-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5173AA;Nijmegen;NL;1727BB;NL;67154;Demo School;0268;6030;1
1046;20-12-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;8066AA;Nijmegen;NL;2146BB;NL;97062;Demo School;0268;6030;1
1047;23-05-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;9308AA;Nijmegen;NL;6067BB;NL;97410;Demo School;0268;6030;1
1048;27-06-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;4143AA;Nijmegen;NL;7888BB;NL;97153;Demo School;0268;6030;1
1049;20-03-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;9977AA;Nijmegen;NL;1006BB;NL;49829;Demo School;0268;6030;1
1050;10-11-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;8238AA;Nijmegen;NL;8244BB;NL;98555;Demo School;0268;6030;1
1051;17-11-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5649AA;Nijmegen;NL;9445BB;NL;97012;Demo School;0268;6030;1
1052;25-05-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;4680AA;Nijmegen;NL;4262BB;NL;29313;Demo School;0268;6030;1
1053;17-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;7790AA;Nijmegen;NL;4185BB;NL;60328;Demo School;0268;6030;1
1054;14-04-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;7965AA;Nijmegen;NL;4585BB;NL;33053;Demo School;0268;6030;1
1055;20-08-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;2988AA;Nijmegen;NL;8478BB;NL;27477;Demo School;0268;6030;1
1056;21-08-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;9270AA;Nijmegen;NL;7991BB;NL;81810;Demo School;0268;6030;1
1057;14-03-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;5246AA;Nijmegen;NL;5050BB;NL;93579;Demo School;0268;6030;1
1058;20-12-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5499AA;Nijmegen;NL;8206BB;NL;20155;Demo School;0268;6030;1
1059;15-04-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;9849AA;Nijmegen;NL;2320BB;NL;28136;Demo School;0268;6030;1
1060;09-11-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;2052AA;Nijmegen;NL;7797BB;NL;63424;Demo School;0268;6030;1
1061;23-07-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;7883AA;Nijmegen;NL;7381BB;NL;86556;Demo School;0268;6030;1
1062;12-01-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;1096AA;Nijmegen;NL;6763BB;NL;49139;Demo School;0268;6030;1
1063;03-07-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;4595AA;Nijmegen;NL;5471BB;NL;67125;Demo School;0268;6030;1
1064;17-06-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;8657AA;Nijmegen;NL;3091BB;NL;91560;Demo School;0268;6030;1
1065;26-06-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;8022AA;Nijmegen;NL;3223BB;NL;70515;Demo School;0268;6030;1
1066;24-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;8449AA;Nijmegen;NL;6355BB;NL;54236;Demo School;0268;6030;1
1067;17-06-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;2341AA;Nijmegen;NL;8705BB;NL;12540;Demo School;0268;6030;1
1068;22-01-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;1659AA;Nijmegen;NL;1508BB;NL;42411;Demo School;0268;6030;1
1069;27-09-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;3068AA;Nijmegen;NL;8758BB;NL;97747;Demo School;0268;6030;1
1070;17-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;3749AA;Nijmegen;NL;2876BB;NL;31465;Demo School;0268;6030;1
1071;14-02-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;7149AA;Nijmegen;NL;7498BB;NL;35995;Demo School;0268;6030;1
1072;15-12-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5941AA;Nijmegen;NL;2983BB;NL;84177;Demo School;0268;6030;1
1073;05-06-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;2129AA;Nijmegen;NL;9289BB;NL;94874;Demo School;0268;6030;1
1074;05-07-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;8102AA;Nijmegen;NL;6934BB;NL;93307;Demo School;0268;6030;1
1075;25-07-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;3885AA;Nijmegen;NL;9548BB;NL;95256;Demo School;0268;6030;1
1076;20-12-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;8136AA;Nijmegen;NL;5397BB;NL;52245;Demo School;0268;6030;1
1077;05-02-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;8613AA;Nijmegen;NL;7209BB;NL;54092;Demo School;0268;6030;1
1078;25-12-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;4475AA;Nijmegen;NL;6813BB;NL;43862;Demo School;0268;6030;1
1079;01-05-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;2402AA;Nijmegen;NL;4954BB;NL;63271;Demo School;0268;6030;1
1080;18-04-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;8342AA;Nijmegen;NL;1282BB;NL;22196;Demo School;0268;6030;1
1081;09-11-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;7046AA;Nijmegen;NL;8753BB;NL;82544;Demo School;0268;6030;1
1082;11-07-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;8434AA;Nijmegen;NL;5438BB;NL;50189;Demo School;0268;6030;1
1083;05-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;2958AA;Nijmegen;NL;9779BB;NL;34267;Demo School;0268;6030;1
1084;12-12-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;2647AA;Nijmegen;NL;4180BB;NL;48829;Demo School;0268;6030;1
1085;09-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5494AA;Nijmegen;NL;1745BB;NL;17146;Demo School;0268;6030;1
1086;29-02-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;1200AA;Nijmegen;NL;5658BB;NL;71524;Demo School;0268;6030;1
1087;26-05-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;8827AA;Nijmegen;NL;2869BB;NL;18564;Demo School;0268;6030;1
1088;31-01-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;3444AA;Nijmegen;NL;5978BB;NL;21164;Demo School;0268;6030;1
1089;21-02-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;9561AA;Nijmegen;NL;7232BB;NL;69049;Demo School;0268;6030;1
1090;17-05-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;1986AA;Nijmegen;NL;2625BB;NL;37235;Demo School;0268;6030;1
1091;25-04-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;4929AA;Nijmegen;NL;3847BB;NL;82350;Demo School;0268;6030;1
1092;26-09-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;5771AA;Nijmegen;NL;1534BB;NL;40340;Demo School;0268;6030;1
1093;26-10-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;4824AA;Nijmegen;NL;5334BB;NL;91927;Demo School;0268;6030;1
1094;26-03-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;3441AA;Nijmegen;NL;5352BB;NL;28643;Demo School;0268;6030;1
1095;13-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;8195AA;Nijmegen;NL;3037BB;NL;71433;Demo School;0268;6030;1
1096;24-06-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;2317AA;Nijmegen;NL;1653BB;NL;66626;Demo School;0268;6030;1
1097;20-04-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;1339AA;Nijmegen;NL;5415BB;NL;85529;Demo School;0268;6030;1
1098;17-12-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;5557AA;Nijmegen;NL;3973BB;NL;86720;Demo School;0268;6030;1
